,Name,Institution
168,Jennifer  Bandi,United States Air Force Academy
169,Bree Bang-Jensen,Swarthmore College
170,Maryam Banikarim,Barnard College
171,Dora Bankins,Loyola University Maryland
172,Aerica Banks,Seattle University
173,Lucy Barber,Haverford College
174,Jennifer Barber,Arkansas State University
175,Susan Barber,St. John Fisher College
176,Noah Barbieri,Millsaps College
177,Bronwyn Barkan,Yale University
178,David Barlow,Brigham Young University
179,Clarissa Barnes,University of South Dakota
180,Jamaal Barnes,Saint John's College- MD
181,Bradley Barnett,University of Virginia
182,Jonathan Baron,Harvard University
183,Nader Baroukh,Chapman University
184,Naomi Barry,Mount Holyoke College
185,Erin  Barta,University of North Dakota
186,Melinda Barth,Wellesley College
187,Kate Bartkus,Muhlenberg College
188,Jessica Barton,Southern Utah University
189,Amber Baskette,Georgetown University
190,Sanjay Basu,Massachusetts Institute of Technology
191,Jon Bate,United States Military Academy
192,Shawnadean Bateman,Evergreen Valley College
193,Lawrence Bates,Yale University
194,Emily Battle,Yale University
195,Stephanie Baucus,Emory University
196,David Bauer,CUNY City College
197,Malea Bauer,University of Utah
198,Steven Bauer,University of Tulsa
199,David Baugh,Duke University
200,David Baugh,Duke University
201,Bessie Bauman,Yale University
202,Carey Baxley,University of Alabama
203,Elizabeth Beach,Gustavus Adolphus College
204,Benjamin Beach,Bowdoin College
205,James Beall,University of Michigan
206,Catherine Bean,University of Virginia
207,Marc Beaudoin,United States Military Academy
208,Dominique Beaudry,Duke University
209,Brigham Bechtel,Saint John's College- MD
210,David Bechtold,Alma College
211,Audrey Beck,Augustana University
212,Michael Beckelhimer,American University
213,Elisabeth Becker,Cornell University
214,Eric Beckman,Cornell University
215,Jana Beddow,Nebraska Wesleyan University
216,Hannah Beech,Colby College
217,Eric Beerbohm,Stanford University
218,Bryan Begley,Oklahoma State University
219,Heidi Behforouz,Mount Holyoke College
220,Gregg Behr,University of Notre Dame
221,Katherine Beirne,University of Notre Dame
222,Sarah Beisner,Grinnell College
223,Dontae Bell,Howard University
224,Blake Bell,University of Virginia
225,Cynthia Bell,University of Southern California
226,Monica Bell,Furman University
227,Stephanie Bell,University of Chicago
228,Anthony Bellia,Canisius College
229,Conner Bender,University of Tulsa
230,Carol Benedick,University of Oregon
231,Ava Benezra,University of Chicago
232,Rashaun Bennett,Davidson College
233,Kathryn Bennett,Montana State University-Bozeman
234,John Bennett,Beloit College
235,Patricia Bennett,Trinity College [CT]
236,Rebeccah Bennett,Swarthmore College
237,Andrew Bennett,University of Colorado
238,Dwayne Bensing,University of Arkansas 
239,Anna Bergman,Wellesley College
240,Jamie Bergstrom,Duke University
241,Michael Bernstein,Yale University
242,Jacqueline Berrien,Oberlin College
243,Sarah Bervera,Sarah Lawrence College
244,Kourtney Bettinger,Kansas State University
245,Michael Beyer,Louisiana State University
246,Logan Beyer,Duke University
247,Cynthia Beyer,University of North Dakota
248,Megan Beyer,Agnes Scott College
249,Anjali Bhatla,Rice University
250,Rujuta Bhatt,Michigan State University
251,Biren Bhatt,New Jersey Institute of Technology
252,Ashni  Bhojwani ,Clemson University
253,Juan Bibiloni-Rivera,Iowa State University
254,Amy Bice,Brigham Young University
255,Karen Bigler,University of Oregon
256,Keith Bilezerian,Ohio Wesleyan University
257,Edward Bilich,Wake Forest University
258,Zachary Billot,University of Nevada-Las Vegas
259,Daniel Birdwhistell,Washington and Lee University
260,Levi Birky,Montana State University-Bozeman
261,Rommye Birnbaum,Hampshire College
262,Alyssa Bisanz,Arizona State University
263,Robin Bissey,University of Arizona
264,Ashley Bittner,University of Florida
265,Jackson Blackwell,Boise State University
266,Rebecca Blais,University of Notre Dame
267,Brian Blais,Harvard University
268,Katherine Blaisdell,Chapman University
269,Richmond Blake,Davidson College
270,Richmond Blake,Davidson College
271,Adrienne Blakey,Oklahoma State University
272,Mercedes Blancaflor,Stanford University
273,Karen Blankenbaker,Tulane University
274,David Blatt,Grinnell College
275,Katherine Blauvelt,Oberlin College
276,Seth Bleiweis,Pomona College
277,Rebecca Blemberg,Marquette University
278,John Blessing,University of North Georgia
279,Nancy Bliss,University of Hawaii Leeward Community College
280,Benjamin Block,United States Military Academy
281,Claire Blodgett,Johnson State College
282,Erin Bloom,Willamette University
283,Sinclair Blue,Georgetown University
284,Andrew Boardman,University of Rhode Island
285,Thomas Boasberg,Yale University
286,Walter Bobkiewicz,University of Southern California
287,Claire Bocchini,Rice University
288,Ryan Bock,Kansas State University
289,Christopher Bodily,Boise State University
290,Paul Bodnar,Stanford University
291,Seth Bodnar,United States Military Academy
292,Simon Boehme,Cornell University
293,Georgie Boge,College of William and Mary
294,Russell Bogue,University of Virginia
295,Samuel Boland,University of Chicago
296,Daniel Boland,St. John's University-MN
297,Glenn Boledovich,University of Alaska-Anchorage
298,Julie Bolitho-Lee,Alma College
299,Gina Bombaci,College of Wooster
300,Lorena Bonet Velazquez,Centre College
301,David Bonfili,Harvard University
302,Alexander Boni-Saenz,Harvard University
303,Akofa Bonsi,University of Alabama at Birmingham
304,Kayje Booker,Washington University
305,Lalita Booth,University of Central Florida
306,David Borchert,Augustana University
307,Alexander Bores,Cornell University
308,Miguela Borges,North Arkansas College
309,Eva Borgwardt,Stanford University
310,Matthew Boring,University of Nebraska
311,Karrigan Bork,University of Kansas 
312,Rena Borkhataria,University of Arizona
313,Joseph Bornstein,Whitman College
314,Adair Boroughs,Furman University
315,Rebecca Boslough,University of Montana
316,Melissa Boteach,University of Maryland College Park
317,Lindsay Botsford,Rice University
318,Andre Bouchard,Boston College
319,Lynn Boughey,Grinnell College
320,Lisa Boulden,University of Chicago
321,Dixie Bounds,Goucher College
322,Ronald Boutilier,East Central University
323,Anthony Boutros,Johns Hopkins University
324,Heidi Boutros,University of Texas
325,Marie Bouvier,University of Louisville
326,Bradley Bowen,Whitman College
327,Virginia Bowen,University of Georgia
328,Briana Bowen,Utah State University
329,Andrew Bowman,University of California-Berkeley
330,Andrew Bowman,University of California-Berkeley
331,Emily Bowne,Seattle University
332,Karin Boxer,Princeton University
333,Beverly Boyd,University of Southern California
334,Laurel Boykin,Wellesley College
335,Jeffrey Bradach,Stanford University
336,Zoe Bradbury,Stanford University
337,Kent Bradley,Kansas State University
338,Mark Bradshaw,University of Kansas 
339,Sean Brady,Harvard University
340,Ronald Brady,Bowdoin College
341,Patricia Brady,University of Massachusetts-Boston
342,Sean Brady,Harvard University
343,James Brahm,United States Air Force Academy
344,Patrick Bramblett,Sul Ross State University
345,John Brand,Butler University
346,Stacy Brandenburg,University of North Carolina-Chapel Hill
347,Christian Brandt,Dartmouth College
348,Lee Branstetter,Northwestern University
349,Kenneth Brashier,University of Missouri
350,Lara Bratcher,University of South Carolina-Columbia
351,Winston Brathwaite,University of the Virgin Islands
352,Carla Braxton,Oakwood College
353,Casey Brayton,University of South Carolina-Columbia
354,Mary Brazill,American University
355,Mark Brewer,Samford University
356,Tess Bridgeman,Stanford University
357,Hope Brinn,Swarthmore College
358,Jaz Brisack,University of Mississippi
359,Madelaine Britt,State University of New York-Buffalo
360,Christopher Brock,Iowa State University
361,Jessica Brody,Claremont McKenna College
362,Micaela Brokaw,Louisiana State University
363,Christina Bromwell,Immaculata University
364,Kristen Bronander,Guilford College
365,Sara Bronin,University of Texas
366,Samuel Brooks,Vanderbilt University
367,Hana Brown,Bryn Mawr College
368,Tatyana Brown,New York University
369,Zachary Brown,University of Montana
370,Alicia Brown,Mississippi State University
371,Maisie Brown,Jackson State University
372,Jeremy Brown,University of Southern Mississippi
373,Christopher Brown,Tulane University
374,Lori Brown,Michigan State University
375,Zachary Brown,University of Montana
376,Hana Brown,Bryn Mawr College
377,Tarik Brown,University of Notre Dame
378,Tomiko Brown,Furman University
379,Stephen Brown,Dartmouth College
380,Gary Brown,Loyola Marymount University
381,Margaret Brown,Trinity College [CT]
382,Tarik Brown,University of Notre Dame
383,Sarah Brown,University of Pennsylvania
384,Jeremy Brown,Lewis and Clark College
385,Christopher Brown,Tulane University
386,William Brown,University of Mississippi
387,Maisie Brown,Jackson State University
388,Stephen Brown,Dartmouth College
389,Patti Brown Hien,Providence College
390,Daniel Brownfield,United States Military Academy
391,Mark Brownstein,Vassar College
392,Rachel Brule,Mount Holyoke College
393,Max Bruner,University of Wisconsin-Madison
394,Alie Brussel Faria,Yale University
