,Name,Institution
750,David Diamond,Johns Hopkins University
751,Jason Dickerson,University of Virginia
752,Johnathan DiMuro,University of Rhode Island
753,Jeffrey Ding,University of Iowa
754,Cindy Dinh,Rice University
755,Dominique DiSpirito,University of Maine
756,Dwight Dively,Rose-Hulman Institute of Technology
757,Leroy Divinity,Loyola University New Orleans
758,Monica Dix,Oberlin College
759,William Dobson,Middlebury College
760,Lisa Doggett,Amherst College
761,William Dohrmann,Macalester College
762,Maria Domingo,Brandeis University
763,Leah Donahue,University of California-Irvine
764,Byron Dong,Mississippi State University
765,Marissa Doran,Williams College
766,Christina Dorfhuber,Carroll College
767,Catherine Dorn,Manchester Community College
768,Hetal Doshi,Emory University
769,Elizabeth Dotson,Furman University
770,Elizabeth Dotson,Furman University
771,Erin Dougherty,Willamette University
772,Thomas Dowling,University of Illinois at Urbana-Champaign
773,Matthew Dowling,Bates College
774,Tracy Downs,California Lutheran University
775,Elizabeth Doyle,University of Wisconsin-Madison
776,Valerie Doze,College of Saint Benedict
777,Dominic Draye,Seattle University
778,Michael Drescher,Arizona State University
779,Cara Drinan,Bowdoin College
780,Steven Drinnon,East Tennessee State University
781,Sean Driscoll,University of Virginia
782,William Drose,University of Hawaii-Manoa
783,Suzanne Drouet,Texas Christian University
784,Karin Drucker,Oberlin College
785,Thomas Duarte,Princeton University
786,Andrea Duarte-Alonso,St. Catherine University
787,Cynthia (CC) DuBois,Louisiana State University
788,Sally DuBose,Catholic University of America
789,Erin Dugan,University of Delaware
790,Susan Duhig,Emory University
791,Selinde Dulckeit,Butler University
792,Bernadette Dumas,Alabama Agricultural and Mechanical University
793,Forrest Dunbar,American University
794,Hannah Duncan,Brown University
795,Lauren Dunford,Stanford University
796,Catherine Dunham,Lawrence University
797,Elizabeth Dunn,University of Rochester
798,James Dunstan,Claremont McKenna College
799,Martin Dupalo,University of Nevada-Las Vegas
800,Ellie Dupler-McClintock,Yale University
801,Margot  Duque ,University of Texas-San Antonio
802,Evelyn Duran,Brown University
803,Mary Duran,University of Tulsa
804,Camilo Duran,University of Pennsylvania
805,Catherine DuRant,Furman University
806,Scott Durchslag,University of Chicago
807,Jane Durga,Northwestern Michigan College
808,Deanna Durrett,Saint Louis University
809,Maya Durvasula,Duke University
810,Marissa Duswalt,University of Texas
811,Indivar Dutta-Gupta,University of Chicago
812,Jared Duval,Wheaton College - MA
813,George Dwyer,Case Western Reserve University
814,Andrew Dziedzic,Xavier University
815,Abby Dziura,Fordham University
816,Charles Eadie,United States Military Academy
817,Katherine Eagan,Catholic University of America
818,Bonnie Eastburn,Alaska Pacific University
819,David Eastis,Claremont McKenna College
820,Malaika Eaton,Willamette University
821,Michael Eaton,Georgetown University
822,Roberta Echard,Danville Area Community College
823,Gabriel Echarte,Amherst College
824,Christina Economy,University of Pennsylvania
825,Joe Edelheit Ross,Yale University
826,John Eden,Evangel University
827,David Edgerton III,Howard University
828,9 Edgette,University of Utah
829,Marietta Edmunds,Randolph-Macon Woman's College
830,Justin Edwards,Howard University
831,John Edwards,Birmingham-Southern College
832,Kevin Eggers,Seattle University
833,Mark Eggert,Harvard University
834,Kathryn Eichelman,Oberlin College
835,David Eichenthal,University of Chicago
836,Robert Eisinger,Haverford College
837,Zachary Eisner,Washington University
838,Reema El-Amamy,University of Southern California
839,Omar El-Halwagi,Texas AM University
840,Chelsea Elander,Montana State University-Bozeman
841,Dina Eldawy,Syracuse University
842,Christopher Elders,Morehouse College
843,Yaseen Eldik,Stony Brook University
844,Paula Elerick-Espinosa,University of Texas-El Paso
845,Holly Elfeldt,University of Nebraska
846,Leya Elias,Stanford University
847,Julia Elitzer,Tufts University
848,Yasmine Elkharssa,University of Michigan
849,Kerry Eller,Northeastern University
850,Heather Elliott,Duke University
851,James Elliott II,Columbia University 
852,Susan Ellison,Bucknell University
853,Brian Ellner,Dartmouth College
854,Esther Ellsworth Bowers,Arizona State University
855,Christopher Elmendorf,Oberlin College
856,Ibrahim Elshamy,Dartmouth College
857,Maya Elsner,Mount Holyoke College
858,Peter Elwell,Middlebury College
859,Barbara Elwood Schalmo,University of Tennessee-Chattanooga
860,Rae Ely,Saint John's College- MD
861,Adam Elzarka,University of Cincinnati
862,Mohamed Elzarka,University of Cincinnati
863,Thomas Emanuel,University of South Dakota
864,Ayodele Embry,Georgia Institute of Technology
865,Betty Emerson,Wesleyan University
866,Eleanor Emery,Cornell University
867,Joshua Engel,University of Pennsylvania
868,Jean Engelmayer,Radcliffe College
869,Jared English,Michigan State University
870,Joshua Engroff,University of Vermont
871,Daniel Ennis,Boston College
872,Rebekah Enoch,San Francisco State University
873,Roberta Enseki-Jones,Portland State University
874,Gary Epperley,Harvard University
875,Linda Epperly,University of Oklahoma
876,Andrew Erickson,University of Montana
877,Ryan Erickson,Deep Springs College
878,Cynthia Erickson,Connecticut College
879,Robert Ervin,Davidson College
880,Megan Erwin,Ball State University
881,Danielle Escontrias,University of Texas-El Paso
882,Jonathan Espinoza,West Texas AM University
883,Eden Essex,University of Notre Dame
884,Rodrigo Estrada,University of Chicago
885,Daniela Estrada,University of California-Irvine
886,Carlton Etiner,Cornell University
887,Salima Etoka,Trinity College [CT]
888,Andre Evans,United States Naval Academy
889,Alfred Evans,University of West Georgia
890,Kymberly Evans,Seattle University
891,Jonathan Evans,Boston College
892,Andre Evans,United States Naval Academy
893,Elizabeth Evenson,University of Chicago
894,Kimberly Everett,University of Alabama at Birmingham
895,Mark Ewen,University of North Dakota
896,Linda Ewing,Michigan State University
897,Cosimo Fabrizio,Cornell University
898,Laura Faer,Syracuse University
899,Linda-Lynn Fagan,University of Illinois at Urbana-Champaign
900,Jenifer Fahey,University of Texas
901,Sean Fahey,United States Naval Academy
902,Troy Falck,University of Idaho
903,Justin Falcone,Johns Hopkins University
904,Elizabeth Falk,Duke University
905,Rosemary Fanelli,Manhattanville College
906,Anyu Fang,University of Chicago
907,Karim Farishta,George Washington University
908,Eric Farnsworth,Ball State University
909,Syed Farooq,Claremont McKenna College
910,Madalyn Farrar,Trinity College [CT]
911,Mark Farrell,University of Hawaii-Hilo
912,Rahfin Faruk,Southern Methodist University
913,Riel Faulkner,Pacific Union College
914,Christina Faust,University of Georgia
915,Jonathan Favreau,College of the Holy Cross
916,Avram Fechter,Rutgers University
917,LaKeytria Felder,Duke University
918,Melissa Felder,Yale University
919,Gretta Feldkamp,Centre College
920,Tal Feldman,Wake Forest University
921,Noah Feldman,Harvard University
922,Matthew Ferchen,University of Puget Sound
923,Marie Ferderer,University of Southern Mississippi
924,Margaret Ferguson,Radcliffe College
925,Jill Ferguson,University of Virginia
926,Marysol Fernandez,Brown University
927,Jon Fernandez,University of Arkansas 
928,Shannon Ferrell,Oklahoma State University
929,Lisa Ferrell,Smith College
930,David Fidler,University of Kansas 
931,Matthew Fiedler,Swarthmore College
932,Jane Field,Kalamazoo College
933,Howard Field,Brigham Young University
934,Mary Field,Saint Mary's College
935,Autumn Fiester,Bucknell University
936,Madelyn Fife,Utah State University
937,Mary Filardo,Saint John's College- MD
938,Kristina Filipovich,Occidental College
939,Katherine Fillion,Fordham University
940,Victoria Fimea,Northern Arizona University
941,Max Finberg,Tufts University
942,Keith Finch,Davidson College
943,Kara Finck,Columbia University 
944,Daryl Finizio,University of Rhode Island
945,Amy Finkelstein,Radcliffe College
946,Theresa Finn,Radcliffe College
947,Wayne Firestone,University of Miami
948,Rosalie Fish,University of Washington
949,Robert Fisher,University of Tennessee-Chattanooga
950,Robert Fisher,University of Tennessee-Chattanooga
951,Demian Fitzgerald,University of Guam
952,Brian Fitzgerald,Castleton State College
953,Laura Fitzgerald,Hollins University
954,Tracy Fitzsimmons,Princeton University
955,Lori Fixley,Duke University
956,Denise Flaim,Georgetown University
957,Ryan Flamerich,University of Alabama
958,Denise Flanagan,University of North Dakota
959,Spencer Flatgard,Mississippi State University
960,Barbara Flatt,Fordham University
961,William  Fleck,North Dakota State University-Main Campus
962,Kathryn Fleisher,University of Pittsburgh
963,Jory Fleming,University of South Carolina-Columbia
964,Laurel Fletcher,Brandeis University
965,Laura Flippin,College of William and Mary
966,Julie Ann Flores,Seattle University
967,David Flores,Occidental College
968,Andy Flores,University of Mississippi
969,Melody Flowers,University of Kentucky
970,Melody Flowers,University of Kentucky
971,JT Flowers,Yale University
972,Mikael Floyd,University of Houston
973,Robin-Anne Floyd,Randolph-Macon College
974,Heather Fluit,University of South Dakota
975,Stephen Flynn,Southern Oregon University
976,Sean Flynn,University of South Dakota
977,Timothy Foisie,Amherst College
978,Braeden Foldenauer,Harvard University
979,Michelle Foley,University of Rhode Island
980,Danielle Follett,CUNY Bernard M. Baruch College
981,Bianca  Fonseca Cervantes,Occidental College
982,Catherine Fontenot,Louisiana State University
983,Carla Ford,Reed College
984,Loren Ford,Slippery Rock University
985,Jennifer Ford,University of Kansas 
986,Camilla Fore,University of Virginia
987,Lori Forman,Augustana College
988,Chad Fornoff,MacMurray College
989,Walter  Fortson,Rutgers University
990,Willow Fortunoff,Macalester College
991,Benjamin Foss,Wesleyan University
992,Tracy Foster,Howard University
993,Deborah Foster,University of Delaware
994,Cheryl Foster,Bowdoin College
995,Dante Foster,University of Alaska-Fairbanks
996,Dakota Foster,Amherst College
997,David Fott,Vanderbilt University
998,William Fowler,Texas Christian University
999,Ashlee Fox,Reed College
1000,Shelly Fox,Albion College
1001,"Henry Frampton, IV",Furman University
1002,Stephanie Francis,New York University
1003,Alexandra  Francis,Davidson College
1004,Bree Frank,University of North Florida
1005,Randi Frank,University of Rhode Island
1006,Jeffrey Franks,Washington State University
1007,Brendan Franzoni,University of Rhode Island
1008,Taylor Fravel,Middlebury College
1009,Brett Frazer,University of Alaska-Anchorage
1010,David Frederick,University of Pittsburgh
1011,Jill French,University of Iowa
1012,Jesse French,University of Massachusetts
1013,Annika Freudenberger,Barnard College
1014,Daniel Fridman,University of Florida
1015,Mark Friedman,University of Massachusetts
1016,Toni Friend,University of Arkansas 
1017,Beatrix Frissell,University of Montana
1018,Dale Fritter,Northern Michigan University
1019,Wendy Fritzen,Michigan State University
1020,Christine Froechtenigt,University of Hawaii-Manoa
1021,Michael Froman,Princeton University
1022,Randall Frykberg,Indiana University
1023,Joe Fu,University of Arizona
1024,Roger Fua,American Samoa Community College
1025,Reynaldo Fuentes,University of Wyoming
1026,Sara Fugleberg,University of North Dakota
1027,Edward Fuhr,University of Virginia
1028,Connell Fullenkamp,Michigan State University
1029,Lori Fuller,Wake Forest University
1030,Michelle Fulton,Barry University
1031,Thomas Joel Fyke,University of Mississippi
1032,Mark Gaber,Saint Norbert College
1033,Susan Gage,Hampshire College
1034,Michael Gale,University of Florida
1035,James Gallagher,Syracuse University
1036,Renata Gallagher,Bryn Mawr College
1037,Juan Gallego,Northeastern University
1038,Elena Gallina,Boise State University
1039,Sara Gammon,Kansas State University
1040,Jonathan Gandomi,University of Arizona
1041,Smitha Ganeshan,University of Georgia
1042,Rishi Ganti,Emory University
1043,James Garcia,University of California-Berkeley
1044,Delia Garcia,Saint Mary's College
1045,Maria Garcia-Berdejo,University of Puerto Rico - Mayaguez
1046,Gustavo Garcia-Lopez,University of Puerto Rico-Rio Piedras
1047,Mary Gardner,Harvard University
1048,Kent Gardner,Oklahoma State University
1049,Anjali Garg,Wake Forest University
1050,Gregory Garger,University of Scranton
1051,Saul Garlick,Johns Hopkins University
1052,Arnessa Garrett,Tulane University
1053,David Gartner,Brown University
1054,Matthew Garza,University of North Carolina-Chapel Hill
1055,Ashley Gaschk,University of Minnesota-Morris
1056,Elizabeth Gasson,University of Wyoming
1057,Daniel Gastfriend,Princeton University
1058,William Gates,Drake University
1059,Wanjiku Gatheru,University of Connecticut
1060,Francis Gause,Saint Joseph's College
1061,Ann Gavaghan,Villanova University
1062,Michelle Gavin,Georgetown University
1063,Becky Gay,University of Alaska-Anchorage
1064,Elisabeth Gayer,United States Naval Academy
1065,Matthew Gayer,Southern Methodist University
1066,Caleb Gayle,University of Oklahoma
1067,Todd Gaziano,West Virginia University
1068,Thomas Gaziano,West Virginia University
1069,Kevin Geddings,Wofford College
1070,Thomas Geiser,United States Air Force Academy
1071,Daniel Gelber,Tufts University
1072,Sara George,Penn State University
1073,Tina George,University of Scranton
1074,Tracey George,Southern Methodist University
1075,Duane George,University of Guam
1076,Todd  Gerarden,University of Virginia
1077,Karinna Gerhardt,Macalester College
1078,Max German,Boston College
1079,Ed Gerrish,University of South Dakota
1080,Jacqueline Gerson,University of Washington
1081,Michael Geruso,Virginia Polytechnic Institute and State University
1082,Raie  Gessesse,Hamline University
1083,Tarek Ghani,Stanford University
1084,Laura Giantris,Clark University
1085,Nora Gibson,Fordham University
1086,Jennifer Gibson,Alma College
1087,James Gibson,Samford University
1088,Michael Gibson,Kansas State University
1089,Ian Gibson,United States Air Force Academy
1090,Matthew Giese,United States Air Force Academy
1091,Rebecca Gifford,Princeton University
1092,Ashley Gigandet,Georgia Institute of Technology
1093,Aubrey Gilbert,University of Virginia
1094,Pat Gilbert,Arizona State University
1095,Paul Gilmore,University of Mississippi
1096,Lauren Gilstrap,University of Texas
1097,Alexis Ginsberg,Lewis and Clark College
1098,Desh Girod,Penn State University
1099,Elizabeth Gish,Miami University
1100,Saul Gitlin,Cornell University
1101,Sarah Glaser,Kansas State University
1102,Jacob Glass,Muhlenberg College
1103,Brian Glasser,West Virginia University
1104,Nicole Glawe,Saint Olaf College
1105,Mark Glaze,Colorado College
1106,Katherine Glenn,Birmingham-Southern College
1107,Deana Glick,University of Alaska-Anchorage
1108,Todd Gloria,University of San Diego
1109,Merry Glover,Salem College
1110,Mindy Glover,University of South Dakota
1111,Travis Glynn,University of Southern California
1112,Erica Goad,Whitman College
1113,William Godwin,Georgetown University
1114,Amanda Godwin,Georgetown University
1115,Justin Goetz,South Dakota State University
1116,Timothy Gokey,Princeton University
1117,Carlee Goldberg,Duke University
1118,David Goldburg,University of Iowa
1119,Nicole Golden-Bouchard,University of Maine
1120,David Goldfarb,Deep Springs College
1121,Stephanie Goldstein,Northwestern University
1122,Jennifer Gollob,Idaho State University
1123,Laura Gomez,Radcliffe College
1124,Don Gomez,CUNY City College
1125,Donna Gomez,University of Guam
1126,Amalia Gomez-Rexrode,University of Michigan
1127,Francisco Gonzales,New Mexico Highlands University
1128,Danielle Gonzales,George Washington University
1129,John Gonzales,Northern Marianas College
1130,Danielle Gonzales,George Washington University
1131,John Gonzales,Northern Marianas College
1132,Carmen Gonzalez,University of Puerto Rico-Bayamon
1133,Roberto Gonzalez,Duke University
1134,Belinda Gonzalez,University of Texas Rio Grande Valley
1135,Jose Gonzalez-Bruno,Saint Joseph's College
1136,James Goodfellow,Grinnell College
1137,Melissa Goodsite,Pomona College
1138,Noël Gordon,University of Michigan
1139,Francis Gordon,North Carolina State University
1140,Francis Gordon,North Carolina State University
1141,Scott Gordon,State University of New York-Binghamton
1142,Neil Gorsuch,Columbia University 
1143,Stephanie Gosnell,University of Arkansas 
1144,Adam Gossen,Deep Springs College
1145,Lewis Gossett,Furman University
1146,Jonathan Gould,University of Georgia
1147,Kyle Gracey,Rensselaer Polytechnic Institute
1148,Patrick Grady,George Mason University
1149,Helene Grady,La Salle University
1150,Kathryn Graham,University of New Mexico
1151,Nicole Graham,Boston University
1152,Tiffany Graham,Radcliffe College
1153,Lindsay Grainger,Furman University
1154,Jeffrey Grant,University of Michigan
1155,Monica Grant,University of Kentucky
1156,Sarah Grant,United States Naval Academy
1157,Elissa Gray,Northwestern University
1158,Elizabeth Gray,Western Washington University
1159,Louritha Green,University of Arkansas 
1160,Donald Green,Shorter College
1161,Preston Green,University of Virginia
1162,Charles Green,George Mason University
1163,Robert Green,Polk Community College
1164,Ann Greenaway,Hendrix College
1165,Jay Greene,Tufts University
1166,Lamar Greene,Emory University
1167,Cynthia Greenlee,University of North Carolina-Chapel Hill
1168,Kelley Greenman,Washington University
1169,Courtney Gregoire,Willamette University
1170,Aysha Gregory,Wellesley College
1171,Sarah Greichen,Colorado State University
1172,Eric Greitens,Duke University
1173,Matthew Gress,University of Oklahoma
1174,Judy Grew,University of Minnesota
1175,Terri Grey,Syracuse University
1176,Carrie Griffin,Swarthmore College
1177,Robyn Griffitts-Harper,The College of Idaho
1178,William Griggs,University of Tennessee-Martin
1179,Renae Griggs,Nova Southeastern University
1180,Julie Grimes,University of Mississippi
1181,Elizabeth Gritter,American University
1182,Kate Groesbeck,University of Nevada-Reno
1183,Margaret Grosh,Kansas State University
1184,Robin Gross,Iowa State University
1185,Christine Groves,United States Coast Guard Academy
1186,Carolyn Grow,Brigham Young University
1187,Mariah Grubb,Willamette University
1188,Jason Grumet,Brown University
1189,Sandra Guerra,Yale University
1190,Bianca Guerrero,Columbia University 
1191,Gail Gugel,Randolph-Macon College
1192,Maria Nancy Guhit,University of Guam
1193,Autumn Guillotte,University of Rhode Island
1194,Dalit Gulak,University of Delaware
1195,Richa Gulati,University of Texas
1196,Erica Gum,Johns Hopkins University
1197,Ganesh Gupta,University of Missouri-Kansas City
1198,Nirant Gupta,Claremont McKenna College
1199,Venu Gupta,Tufts University
1200,Avi Gupta,Stanford University
1201,Nirant Gupta,Claremont McKenna College
1202,Ravi Gupta,State University of New York-Binghamton
1203,Geoffrey Gusoff,Brown University
1204,Rosario Gutierrez,Occidental College
1205,Johann Guzman,United States Naval Academy
1206,Yoonhee Ha,Ohio State University
1207,K. Cyrus Habib,Columbia University 
1208,Lonnie Hackett,Bowdoin College
1209,Robert Hackey,University of Rhode Island
1210,Sarah Hackney,Campbell University
1211,Catherine Hadley,University of Michigan
1212,Alice Hadley,Stanford University
1213,Shelley Hagan,Macalester College
1214,Leah Hagedorn,Goucher College
1215,Mark Hagemeier,Baylor University
1216,Timothy Hagerty,University of Louisville
1217,Stephen Haggerty,Boston College
1218,Andrea Haidar,University of Chicago
1219,Aliya Haider,Columbia University 
1220,Katie Hail-Jares,Grinnell College
1221,Kristine Hain,Rice University
1222,Nick Hakes,Stanford University
1223,Elizabeth Hale,Colorado State University
1224,Ruth Hale,Johnson State College
1225,Anne Hall,Tufts University
1226,Melanie Hall,Kansas State University
1227,Colin Hall,Georgia College & State University
1228,Praise  Hall ,Bowdoin College
1229,Alice Hall,Occidental College
1230,Nicole Hallett,DePauw University
1231,Joseph Halli,Boston College
1232,Lucia Halpern,University of North Carolina-Chapel Hill
1233,William Halter,Stanford University
1234,Andrea Halverson,Augustana University
1235,Jaye Hamby,University of Tennessee-Knoxville
1236,Katherine Hamilton,Middlebury College
1237,Jane Hamilton,Smith College
1238,Katie Hamm,University of Virginia
1239,Sarah Hammer,Carleton College
1240,John Hammond,University of Georgia
1241,Beyonce Hammond,University of Central Oklahoma
1242,Andrew Hammond,University of Chicago
1243,Halima Hamud,Boise State University
1244,Shemeko Hang,Georgetown University
1245,Bess Hanish,Amherst College
1246,Frank Hanna,University of Georgia
1247,Jacquelyn Hanna,United States Naval Academy
1248,Phillip Hannam,University of Maryland College Park
1249,Kathleen Hannick,Seattle University
1250,Ulcca Hansen,Drew University
1251,Jed Hanson,University of North Dakota
1252,Barbara Hanson ,Hastings College
1253,Carla Hanzal,Hastings College
1254,Nazir Harb Michel,Seattle University
1255,Phillip Harbison,University of Alabama
1256,Francine Harbour,Rutgers University
1257,Haley Hardie,Davidson College
1258,Chalres Hare,West Virginia University
1259,Helen Hare,Oberlin College
1260,Melinda Harm,University of Oregon
1261,Elizabeth Harmer,Wellesley College
1262,James Harmon,Harvard University
1263,Katrina Harmon,University of Colorado
1264,Hannah Harper,Willamette University
1265,James Harper,University of Utah
1266,Sky Harper,Drexel University
1267,Jenifer Harr,Northwest Missouri State University
1268,Tracye Harris,Rust College
1269,Jamal Harris,University of Pennsylvania
1270,Sam Harris ,University of Arkansas 
1271,Don Harris,Wittenberg University
1272,Jennifer Harris,Wake Forest University
1273,Tracye Harris,Rust College
1274,Kim Harris,Eastern Illinois University
1275,Julian Harris,Duke University
1276,Tobias Harris,Brandeis University
1277,Noah Harris,Harvard University
1278,Emma Harrison,West Virginia University
1279,Gretchen Harting,University of Texas-San Antonio
1280,Sarah Hartman,University of Delaware
1281,Patrick Harton,Fairmont University
1282,Anna Harvey,Ohio University
1283,Richard Harwood,Skidmore College
1284,Mark Haskell,University of Maine
1285,David Haskell,Yale University
1286,Matthew Haskins,Miami University
1287,Claire Hassett,University of Vermont
1288,Leslie Hatamiya,Stanford University
1289,Jennifer Hatch,Wellesley College
1290,Brian Hatch,University of Utah
1291,Jennifer Hatch,Wellesley College
1292,Meredith Hatfield,Wellesley College
1293,Sejal Hathi,Yale University
1294,Bruce Haupt,University of Florida
1295,Grant  Hauschild,University of North Dakota
1296,Makayla Haussler,Yale University
1297,Mark Havens,Gonzaga University
1298,Lynda Hawk,St. Mary's Dominican College
1299,Howard Hawk,University of Alabama at Birmingham
1300,Wren Hawthorne,Oklahoma State University
1301,Bruce Hay,University of Wisconsin-Madison
1302,Peggie Hayes,Bunker Hill Community College
1303,Melissa Hayes,Penn State University
1304,Dominique Hazzard,Wellesley College
1305,Tianhao He,Harvard University
1306,Joseph Heath,College of the Canyons
1307,Eagan Heath,University of Minnesota-Morris
1308,Jessica Heaven,Vanderbilt University
1309,Joy Hecht,Harvard University
1310,Lisa Hecht-Cronstedt,College of William and Mary
1311,Kurt Heck,University of Wyoming
1312,Michael Heel,Colby College
1313,Brodie Hefner,Washtenaw Community College
1314,Corine Hegland,Macalester College
1315,Nicolas Heidorn,Claremont McKenna College
1316,Jennifer Heidt White,Willamette University
1317,Jacob Heller,Pitzer College
1318,Daniel Hemmer,University of Michigan
1319,Christine Henchar,Fairfield University
1320,Alan Henderson,Florida State University
1321,Judie Henderson,University of Nevada-Reno
1322,Rebecca Hendricks,University of Hawaii Honolulu Community College
1323,Clare Henriksen,University of Idaho
1324,Tammy Henry,University of North Alabama
1325,Judy Herbstman,Harvard University
1326,Michael Herde,Florida State University
1327,Anthony Hernandez,Harvard University
1328,Felipe Hernandez,University of California-Irvine
1329,Juana Hernandez,University of California-Los Angeles
1330,Joseph Herron,Northern Virginia Community College
1331,Brandon Hersey,University of Southern Mississippi
1332,Anthony Hertado,University of Utah
1333,Kurt Herzer,Johns Hopkins University
1334,Amber Herzer,Iowa State University
1335,Sheila Heslin,Cornell University
1336,Jason Hess,Youngstown State University
1337,Bradlee Hess,Utah State University
1338,Thaddeus Heuer,Brown University
1339,Dawn Hewett,University of Washington
1340,Joseph Heyd,Ohio State University
1341,Kurt Heyman,University of Michigan
1342,Laurel Hiatt,University of Georgia
1343,Stephen Hibbard,University of South Carolina-Columbia
1344,Cameron Hickert,University of Denver
1345,Austin Hickle,Southern Methodist University
1346,Henry Hicks,Oberlin College
1347,Peggy Hicks,University of Michigan
1348,Larry Hicks,Mississippi College
1349,Catherine Hicks,Middlebury College
1350,Larry Hicks,Mississippi College
1351,Catherine Hicks,Middlebury College
1352,Kevin Higgins,Willamette University
1353,Elizabeth Hill,Case Western Reserve University
1354,Sarah Hill,Bowdoin College
1355,LaShunda Hill,University of Tennessee-Chattanooga
1356,John Hill,Baylor University
1357,Kathleen Hill,George Washington University
1358,Darrell Hill,Howard University
1359,William Hillegass,Yale University
1360,Malka Himelhoch,Princeton University
1361,Ann Himes,University of Nebraska
1362,Donald Himes,University of Maryland Baltimore County
1363,Christina Himes,Yale University
1364,James Himphill,American Samoa Community College
1365,Jammie Himsl,United States Air Force Academy
1366,Kathleen Hintze,Marquette University
1367,Patricia Hipsher,Kansas State University
1368,Samuel Hirsch,Rice University
1369,Jennifer Hirsch,Northwestern University
1370,Sarah Hirschman,George Washington University
1371,Xuan-Trang Ho,Nebraska Wesleyan University
1372,Nguyen-Hong Hoang,University of California-Irvine
1373,Matthew Hobart,Miami University
1374,Meredith Hobbs,University of Georgia
1375,Dalia Hochman,Yale University
1376,David Hodges,University of Alabama
1377,Laurie Hoefer,Wittenberg University
1378,Gretchen Hoff,Radcliffe College
1379,Suzanne Hoff,Mount Holyoke College
1380,Randall Hoffman,North Dakota State University-Main Campus
1381,Megan Hoffman,University of South Carolina-Columbia
1382,Connor Hoffmann,Montana State University-Bozeman
1383,Nancy Hofreuter,Bryn Mawr College
1384,Andrew Holder,Lewis and Clark College
1385,Matthew Holian,Harvard University
1386,Thomas Holland,Princeton University
1387,Patsy Holley,Western Carolina University
1388,Debra Hollingsworth-Krumnow,Colorado State University
1389,Bradley Holm,Brigham Young University
1390,James Holman,University of North Carolina-Chapel Hill
1391,Sarah Holst,Culver-Stockton College
1392,Robert Holste,Penn State University
1393,Caraleigh Holverson,Georgetown University
1394,Stephen Honan,United States Naval Academy
1395,Robert Honeywell,Duke University
1396,Joseph Hootman,Trinity University
1397,Preston Hopson,Yale University
1398,Starr Horne,University of Tulsa
1399,Jocelyn Horner,University of Pittsburgh
1400,Sandra Horrigan,Brown University
1401,Akbar Hossain,Franklin & Marshall College
1402,Janet Hostetler,Wellesley College
1403,Emma Hotz,University of New Mexico
1404,James Hourdequin,Dartmouth College
1405,Jenny Hourihan,Swarthmore College
1406,Samuel Houshower,Deep Springs College
1407,John Housianitis,Merrimack College
1408,Gwen Houston,University of Southwestern Louisiana
1409,Patrick Hovakimian,Occidental College
1410,Lauren Howard,Bucknell University
1411,Joy Howard,Agnes Scott College
1412,Jennifer Howard,University of Charleston
1413,Serena Hoy,University of Arizona
1414,Brad Hoylman,West Virginia University
1415,Hanan Hsain,North Carolina State University
1416,Nien-hê Hsieh,Swarthmore College
1417,Anne Hsieh,United States Military Academy
1418,Ann-Hsiang Hsu,Oglethorpe University
1419,Kimberly Hsu,University of Pennsylvania
1420,Margaret Hu,University of Kansas 
1421,Cindy Huang,Yale University
1422,Helen Huarca,Mount Holyoke College
1423,Elizabeth Hubbard,Goucher College
1424,Daniel Hubbard,Florida State University
1425,D. Hudson,United States Naval Academy
1426,Benjamin Huebner,Haverford College
1427,Brian Hughes,Claremont McKenna College
1428,Elizabeth Hughes,Radcliffe College
1429,Gregory Hughes,University of Rhode Island
1430,Victoria Hulse Campbell,United States Military Academy
1431,Amy Hungerford-Shirley,Johns Hopkins University
1432,Braelen Hunt,Arkansas State University
1433,Kathleen Hunt,Brigham Young University-Hawaii
1434,Karlene Hunter,Oglala Lakota College
1435,Abril Hunter,Florida State University
1436,Larry Hunter,University of Pennsylvania
1437,Ali Hussain,Cornell University
1438,Mark Hutchinson,Boston College
1439,James Hyler,Patrick Henry College
1440,Gregg Hymowitz,State University of New York-Binghamton
1441,Adam Iddriss,University of Pennsylvania
1442,Amarachukwu Ifeji,Northeastern University
1443,John Ignacio,University of Guam
1444,Kenneth Ike,Baylor University
1445,Vincent Indelicato,Haverford College
1446,Umair Iqbal,University of Alaska-Anchorage
1447,Ellen Irby,University of Georgia
1448,DeAvery Irons,University of Illinois at Urbana-Champaign
1449,Anne Irwin,New York University
1450,Caroline Irwin,Mendocino College
1451,Luda Isakharov,University of Oregon
1452,Kellie Isbell,University of Alabama at Birmingham
1453,Jennifer Isern,University of Montana
1454,Thomas Isherwood,University of Delaware
1455,John Ishiyama,Bowling Green State University
1456,Maryana Iskander,Rice University
1457,Samiha Islam,State University of New York-Buffalo
1458,Samia Ismail,University of Arkansas 
1459,Peggy Israel,University of Missouri
1460,Lexis Ivers,American University
1461,Allison Iwaoka,Yale University
1462,Joyce Iwashita,Lewis and Clark College
1463,Asma Jaber,University of South Carolina-Columbia
1464,Garrett Jackson,Oklahoma State University
1465,Chanise  Jackson ,University of Washington
1466,Cheryl Jackson,University of Missouri
1467,Brenda Jackson,University of Kansas 
1468,Donald Jackson,Trinity College [CT]
1469,Chelsea Jackson,Emory University
1470,Cheryl Jackson,University of Missouri
1471,Lauren Jacobs,Cornell University
1472,Herman Jacobs,University of Houston
1473,Margaret Jacobs,Radcliffe College
